Actor,File Name,Emotion,Confidence Score,surprised_probability,angry_probability,fearful_probability,sad_probability,happy_probability,neutral_probability,calm_probability,disgust_probability
Actor_07,03-01-03-02-01-01-07.wav,angry,0.1396,0.1242,0.1396,0.1225,0.1169,0.1207,0.1181,0.1262,0.1318
Actor_07,03-01-03-02-01-02-07.wav,angry,0.1376,0.122,0.1376,0.1266,0.1173,0.1202,0.1159,0.1286,0.1318
Actor_07,03-01-03-02-02-01-07.wav,angry,0.1383,0.1241,0.1383,0.1196,0.1186,0.1208,0.1218,0.1248,0.1319
Actor_07,03-01-03-02-02-02-07.wav,angry,0.1397,0.1262,0.1397,0.1232,0.1177,0.1188,0.1201,0.1241,0.1302
Actor_07,03-01-04-01-01-01-07.wav,happy,0.1326,0.1182,0.1265,0.114,0.122,0.1326,0.1296,0.1248,0.1323
Actor_07,03-01-04-01-01-02-07.wav,angry,0.1347,0.1267,0.1347,0.1206,0.1231,0.1153,0.1342,0.1172,0.1282
Actor_07,03-01-04-01-02-01-07.wav,happy,0.1335,0.1199,0.1215,0.1141,0.1216,0.1335,0.1277,0.1297,0.132
Actor_07,03-01-04-01-02-02-07.wav,happy,0.1371,0.1135,0.1191,0.114,0.1222,0.1371,0.1236,0.136,0.1345
Actor_07,03-01-04-02-01-01-07.wav,neutral,0.1346,0.1189,0.1232,0.1155,0.1235,0.1329,0.1346,0.1232,0.1282
Actor_07,03-01-04-02-01-02-07.wav,neutral,0.1336,0.1203,0.1231,0.1164,0.124,0.1326,0.1336,0.123,0.1271
Actor_07,03-01-04-02-02-01-07.wav,happy,0.1341,0.1184,0.1215,0.1167,0.1251,0.1341,0.1331,0.1254,0.1256
Actor_07,03-01-04-02-02-02-07.wav,neutral,0.1335,0.122,0.126,0.1156,0.1233,0.1312,0.1335,0.1207,0.1277
Actor_07,03-01-05-01-01-01-07.wav,fearful,0.1351,0.1205,0.1262,0.1351,0.1178,0.1295,0.1128,0.1336,0.1246
Actor_07,03-01-05-01-01-02-07.wav,fearful,0.1345,0.1215,0.1248,0.1345,0.1175,0.1306,0.1126,0.1344,0.1241
Actor_07,03-01-05-01-02-01-07.wav,calm,0.1423,0.114,0.1226,0.1294,0.1183,0.1317,0.1122,0.1423,0.1295
Actor_07,03-01-05-01-02-02-07.wav,calm,0.1348,0.1201,0.1256,0.1344,0.1176,0.1298,0.1126,0.1348,0.1251
Actor_07,03-01-05-02-01-01-07.wav,fearful,0.1358,0.1204,0.1241,0.1358,0.1177,0.1292,0.1129,0.1341,0.1259
Actor_07,03-01-05-02-01-02-07.wav,fearful,0.1349,0.1207,0.1245,0.1349,0.1183,0.1298,0.1124,0.1341,0.1254
Actor_07,03-01-05-02-02-01-07.wav,fearful,0.1354,0.1218,0.1269,0.1354,0.1178,0.1283,0.1125,0.1322,0.125
Actor_07,03-01-05-02-02-02-07.wav,calm,0.135,0.1206,0.1245,0.1338,0.1176,0.1304,0.1125,0.135,0.1256
Actor_07,03-01-06-01-01-01-07.wav,happy,0.1305,0.1266,0.1289,0.1201,0.1249,0.1305,0.1248,0.1223,0.1219
Actor_07,03-01-06-01-01-02-07.wav,angry,0.1337,0.129,0.1337,0.1209,0.1236,0.1254,0.122,0.1214,0.1241
Actor_07,03-01-06-01-02-01-07.wav,angry,0.1324,0.1292,0.1324,0.1211,0.1242,0.126,0.1245,0.1206,0.1221
Actor_07,03-01-06-01-02-02-07.wav,angry,0.1334,0.1299,0.1334,0.1232,0.1241,0.1229,0.1231,0.121,0.1224
Actor_07,03-01-06-02-01-01-07.wav,angry,0.1331,0.1294,0.1331,0.123,0.1243,0.1265,0.1203,0.121,0.1224
Actor_07,03-01-06-02-01-02-07.wav,angry,0.1325,0.1285,0.1325,0.1223,0.1265,0.1244,0.1216,0.1215,0.1225
Actor_07,03-01-06-02-02-01-07.wav,angry,0.1307,0.128,0.1307,0.1214,0.1249,0.1295,0.122,0.122,0.1214
Actor_07,03-01-06-02-02-02-07.wav,angry,0.1375,0.1289,0.1375,0.1274,0.1219,0.1238,0.1172,0.1203,0.1229
Actor_07,03-01-07-01-01-01-07.wav,calm,0.1544,0.1067,0.1136,0.1131,0.1249,0.1307,0.122,0.1544,0.1345
Actor_07,03-01-07-01-01-02-07.wav,calm,0.154,0.1064,0.1136,0.1132,0.125,0.1317,0.121,0.154,0.1351
Actor_07,03-01-07-01-02-01-07.wav,calm,0.152,0.108,0.1157,0.1121,0.125,0.1284,0.1233,0.152,0.1356
Actor_07,03-01-07-01-02-02-07.wav,calm,0.1541,0.1057,0.1156,0.1145,0.125,0.1323,0.1168,0.1541,0.1361
Actor_07,03-01-07-02-01-01-07.wav,calm,0.1527,0.107,0.1148,0.1159,0.1239,0.1332,0.1163,0.1527,0.1361
Actor_07,03-01-07-02-01-02-07.wav,calm,0.1487,0.1093,0.1197,0.1229,0.1202,0.133,0.1131,0.1487,0.1331
Actor_07,03-01-07-02-02-01-07.wav,calm,0.1494,0.1081,0.1189,0.1198,0.1217,0.1326,0.1139,0.1494,0.1355
Actor_07,03-01-07-02-02-02-07.wav,calm,0.153,0.1068,0.1158,0.1144,0.1239,0.1329,0.1165,0.153,0.1368
Actor_07,03-01-08-01-01-01-07.wav,sad,0.1328,0.1294,0.131,0.1315,0.1328,0.1142,0.1161,0.1189,0.1261
Actor_07,03-01-08-01-01-02-07.wav,sad,0.1349,0.1291,0.1282,0.1282,0.1349,0.1151,0.1196,0.1205,0.1243
Actor_07,03-01-08-01-02-01-07.wav,sad,0.1358,0.1323,0.128,0.1275,0.1358,0.1149,0.1212,0.1183,0.1219
Actor_07,03-01-08-01-02-02-07.wav,sad,0.1368,0.1301,0.1268,0.1293,0.1368,0.1143,0.1196,0.1189,0.1242
Actor_07,03-01-08-02-01-01-07.wav,sad,0.1389,0.1278,0.1246,0.127,0.1389,0.1137,0.1219,0.1201,0.1259
Actor_07,03-01-08-02-01-02-07.wav,sad,0.1389,0.1267,0.1234,0.1252,0.1389,0.1136,0.1253,0.1212,0.1257
Actor_07,03-01-08-02-02-01-07.wav,sad,0.134,0.1287,0.13,0.1319,0.134,0.1131,0.1169,0.1177,0.1276
Actor_07,03-01-08-02-02-02-07.wav,sad,0.1359,0.129,0.1276,0.1289,0.1359,0.1145,0.1186,0.1192,0.1264
